ORF	NAME error	K	Pho2	Pho4	Co	Pho2B	Pho4B	CoB	p.error	p.K	p.Pho2	p.Pho4	p.Co	p.Pho2B	p.Pho4B	p.CoB
YOL086C	ADH1	-0.2	0.9	0.6	0.3	-0.7	-0.6	0.0	0.4	1.0E+00	5.7E-03	3.2E-01	9.2E-01	1.0E+00	1.0E+00	1.0E+00	6.6E-01
YOL155C	YOL155C	-0.4	0.4	0.2	-0.1	0.5	0.0	0.2	-0.3	1.0E+00	9.3E-01	1.0E+00	1.0E+00	3.7E-01	1.0E+00	1.0E+00	1.0E+00
YOL158C	ENB1	0.0	2.9	0.2	0.1	-0.6	-0.1	-0.1	0.2	1.0E+00	0.0E+00	1.0E+00	1.0E+00	1.0E+00	1.0E+00	1.0E+00	1.0E+00
YOR163W	DDP1	0.1	0.1	-0.1	0.1	0.8	0.0	0.0	0.0	1.0E+00	1.0E+00	1.0E+00	1.0E+00	1.9E-03	1.0E+00	1.0E+00	1.0E+00
YOR173W	YOR173W	0.0	1.0	0.3	-0.1	-0.3	-0.2	0.2	0.1	1.0E+00	5.6E-06	9.7E-01	1.0E+00	1.0E+00	1.0E+00	1.0E+00	1.0E+00
YOR344C	TYE7	0.2	0.9	-0.1	0.0	0.4	-0.1	0.0	0.2	1.0E+00	1.5E-04	1.0E+00	1.0E+00	6.2E-01	1.0E+00	1.0E+00	9.9E-01
YOR347C	PYK2	-0.2	0.6	0.3	0.0	0.1	-0.1	0.1	0.2	1.0E+00	1.1E-02	9.9E-01	1.0E+00	1.0E+00	1.0E+00	1.0E+00	1.0E+00
YOR382W	FIT2	-0.1	3.9	0.2	-0.1	-0.8	0.1	0.1	-0.3	1.0E+00	1.9E-14	8.1E-01	9.7E-01	1.0E+00	9.0E-01	9.2E-01	9.9E-01
YOR383C	FIT3	-0.4	1.7	0.4	0.0	-1.0	0.0	0.1	-0.1	1.0E+00	2.3E-15	7.9E-01	1.0E+00	1.0E+00	1.0E+00	1.0E+00	1.0E+00
YPL018W	CTF19	-0.1	-0.1	0.2	0.2	2.0	0.0	0.0	0.0	1.0E+00	1.0E+00	9.8E-01	9.9E-01	7.5E-13	1.0E+00	1.0E+00	1.0E+00
YPL019C	VTC3	0.0	0.1	0.0	1.6	2.4	0.0	-0.1	0.2	1.0E+00	1.0E+00	1.0E+00	3.3E-16	0.0E+00	1.0E+00	1.0E+00	1.0E+00
YPL054W	LEE1	0.0	0.5	0.4	0.1	0.4	-0.2	0.0	0.3	1.0E+00	5.1E-01	9.4E-01	1.0E+00	8.6E-01	1.0E+00	1.0E+00	9.9E-01
YPL110C	YPL110C	-0.1	0.2	0.0	0.1	1.1	0.0	0.0	0.0	1.0E+00	1.0E+00	1.0E+00	1.0E+00	2.3E-10	1.0E+00	1.0E+00	1.0E+00
YPR167C	MET16	0.0	0.6	0.2	0.0	-0.1	0.0	-0.1	0.1	1.0E+00	6.0E-03	1.0E+00	1.0E+00	1.0E+00	1.0E+00	1.0E+00	1.0E+00
