"","N1","N2","O1","O2","P1","P2","Q1","Q2","R1","W1","W2","W3","W4"
"CAGL0M08668g",2318,1724,2284,1551,2246,2048,2294,1568,2047,819,913,648,531
"CAGL0M02959g",1527,1284,1773,1267,1428,1311,1657,937,1473,721,759,438,361
"CAGL0M02321g",270,213,298,189,275,177,269,137,254,80,112,89,87
"CAGL0M00638g",3846,2649,5905,5173,4396,4787,4012,3138,4594,3120,3334,474,524
"CAGL0M09339g",353,340,362,288,416,519,364,337,256,283,297,568,513
"CAGL0M08866g",698,611,535,421,513,535,603,429,431,302,312,862,755
"CAGL0M02629g",3655,3121,1869,1386,2656,2636,3817,2502,2769,1444,1510,2387,2244
"CAGL0M07271g",954,854,1096,742,1631,1666,1091,626,840,755,869,434,419
"CAGL0M07546g",400,389,345,231,368,314,410,176,315,173,202,462,431
"CAGL0M00264g",589,401,709,555,642,593,695,450,589,289,318,240,176
"CAGL0M03223g",8422,6965,10776,6780,8429,7271,8813,5264,8912,3561,3585,3610,3258
"CAGL0M03927g",629,480,568,505,630,671,624,499,519,283,356,413,375
"CAGL0M04609g",827,660,1116,817,967,898,868,600,963,632,680,405,353
"CAGL0M12496g",919,743,1252,1108,863,1046,653,615,719,939,1038,259,255
"CAGL0M01694g",1596,1899,2242,1507,1182,1217,1601,924,1091,659,755,1314,1613
"CAGL0M05599g",4652,3399,4222,3715,3766,4286,3090,2701,3135,1463,1737,1543,1233
"CAGL0M12012g",1030,947,1523,998,1232,1213,1305,875,1046,552,594,728,620
"CAGL0M05885g",550,278,675,464,531,467,449,368,436,294,300,55,56
"CAGL0M07139g",577,626,563,516,630,698,816,638,562,288,350,589,578
"CAGL0M05423g",2510,2145,2860,2184,2475,2458,2601,1796,2464,886,1012,951,895
"CAGL0M06765g",513,355,471,383,472,479,520,341,434,259,268,354,382
"CAGL0M01474g",976,949,1252,863,789,841,763,489,669,697,761,590,549
"CAGL0M00946g",1054,659,1630,1235,1283,1169,1081,955,1259,761,917,131,91
"CAGL0M03531g",8099,7313,9473,6278,8025,7738,9368,5180,8179,3203,3320,5182,4831
"CAGL0M11440g",294,300,394,306,300,264,341,234,246,89,99,113,93
"CAGL0M00682g",237,171,226,133,191,133,190,105,227,106,93,33,32
"CAGL0M06721g",1228,1072,1089,843,1726,1828,1146,721,991,677,840,1279,1217
"CAGL0M04675g",1122,1010,438,329,1499,1389,567,299,269,219,224,6874,6903
"CAGL0M01232g",1123,792,1539,945,1199,927,1174,720,1280,421,471,215,197
"CAGL0M05555r",0,0,2,0,1,0,0,0,0,0,0,0,0
"CAGL0M04719g",1064,591,1688,1420,1358,1323,978,942,1200,778,864,70,65
"CAGL0M12386g",2875,1976,3518,2386,2537,2682,2224,1535,2192,1290,1519,1445,1247
"CAGL0M09889g",776,785,912,628,831,807,912,547,690,350,431,618,577
"CAGL0M09042g",4,1,12,8,8,7,3,3,3,5,9,8,14
"CAGL0M08514g",6616,4342,4526,4511,3984,5097,3602,3709,2041,1591,1955,6692,6354
"CAGL0M12232g",564,388,522,332,758,715,536,317,397,321,389,180,203
"CAGL0M05863g",1410,1298,1798,1414,1616,1644,1777,1232,1627,879,1074,833,842
"CAGL0M02365g",165,95,161,127,165,166,149,96,109,64,61,119,125
"CAGL0M13937g",759,966,608,478,796,989,922,656,519,410,461,3822,3912
"CAGL0M11836g",317,202,394,328,361,350,339,290,269,256,266,137,116
"CAGL0M06743r",1,1,0,0,0,1,0,0,0,0,0,0,0
"CAGL0M09933g",224,198,195,123,185,152,220,113,144,54,74,171,143
"CAGL0M00242g",681,609,718,497,684,650,612,373,553,406,373,731,706
"CAGL0M06171g",837,838,999,861,809,1218,1064,1193,865,658,857,1385,1444
"CAGL0M03619g",964,634,1457,1073,1124,1061,936,736,1009,636,699,110,104
"CAGL0M06677g",4070,3245,4637,3443,4464,4592,3536,2500,4038,2372,2644,1282,1185
"CAGL0M01606g",1732,1472,2121,1428,2102,1721,1869,1117,1813,807,847,533,537
"CAGL0M01716g",35,15,49,49,48,26,17,16,13,68,84,32,37
"CAGL0H01221g",1241,1140,1299,886,1212,1150,1463,845,1074,595,630,914,849
"CAGL0H08734g",8018,5177,10984,10417,8229,11595,7340,7328,8470,4509,5365,199,181
"CAGL0H08305g",834,882,663,523,740,892,911,634,589,328,349,1856,1581
"CAGL0H01199g",1339,1236,1925,1162,1433,1239,1644,798,1526,568,549,855,792
"CAGL0H07953g",766,697,963,685,779,885,884,629,753,466,512,582,620
"CAGL0H01089g",1285,2245,2370,1589,1531,1807,1397,458,1375,1966,2163,933,1605
"CAGL0H04587g",587,520,651,385,586,451,597,272,471,231,238,267,232
"CAGL0H04653g",5147,3709,6847,5345,6211,6161,3922,2812,4865,2102,2438,1277,1092
"CAGL0H08393g",1620,872,2329,1903,1810,1806,1020,1050,1336,1052,1224,134,106
"CAGL0H03993g",3889,4808,4578,3352,4075,4295,4338,2499,4960,846,941,5723,5335
"CAGL0H03707g",1628,2155,1693,1266,1483,1592,2538,1299,3864,1090,1144,2039,1926
"CAGL0H10208g",845,852,651,537,736,755,882,581,502,248,258,873,754
"CAGL0H09482g",2,5,7,6,2,3,3,1,1,0,1,0,1
"CAGL0H00506g",13320,12139,16351,10548,9637,9461,11990,7719,11096,4355,4627,9592,8157
"CAGL0H09702g",460,338,514,424,451,485,390,250,390,317,364,314,276
"CAGL0H08866g",1309,978,1339,1028,1136,1172,1058,909,1003,683,756,471,425
"CAGL0H06721g",956,886,893,610,928,891,967,554,715,355,343,814,778
"CAGL0H01837g",915,1048,665,612,752,1002,876,580,537,372,392,3426,3186
"CAGL0H10318g",526,415,616,499,585,579,611,458,557,358,398,207,201
"CAGL0H09570r",0,0,0,0,0,0,0,0,0,0,0,0,0
"CAGL0H02299g",614,473,677,434,612,571,642,410,524,216,241,212,243
"CAGL0H09988g",533,421,583,455,540,465,481,353,451,291,292,262,285
"CAGL0H08437g",608,549,585,380,596,533,733,337,450,170,167,552,469
"CAGL0H06303g",557,461,785,505,606,568,474,278,558,356,360,532,443
"CAGL0H01485g",583,534,737,441,566,523,672,396,494,400,430,404,425
"CAGL0H09284r",0,0,0,0,0,0,0,0,0,0,0,0,0
"CAGL0H02651g",1395,1016,1562,918,1376,1108,1283,795,1444,537,514,342,294
"CAGL0H07403g",4504,4307,5158,3445,4128,3795,4543,2320,4620,1572,1706,1229,1199
"CAGL0H00440g",1763,1295,1988,1379,1573,1394,1524,1266,1370,777,892,249,200
"CAGL0H08239g",952,754,1137,843,1092,1171,905,563,912,403,410,701,740
"CAGL0H09680g",1528,1470,1509,857,1458,1262,1822,1040,1306,502,510,1451,1328
"CAGL0H06215g",4061,2966,3678,2694,3402,3215,3232,2417,2690,996,1023,1966,1826
"CAGL0H02827g",899,752,986,703,964,831,1043,536,949,387,372,612,544
"CAGL0H05049g",1103,910,1380,894,1406,1389,1369,919,967,426,448,828,789
"CAGL0H10362g",639,477,490,481,698,863,547,334,344,223,259,3405,3620
"CAGL0H02629r",0,0,0,0,0,0,0,0,0,0,0,0,0
"CAGL0H10142g",6697,3744,11510,7724,7939,7533,5257,4569,7615,4107,4837,992,714
"CAGL0H07315g",188,132,183,156,184,202,149,136,130,93,89,174,159
"CAGL0H08756g",2,1,4,2,2,3,3,1,5,2,2,0,1
"CAGL0H02321g",829,712,723,479,708,763,814,459,513,380,384,919,867
"CAGL0H04081g",7910,5890,12134,9767,11804,11927,7919,5642,7338,5071,6050,1804,1363
"CAGL0H00220g",1123,918,1281,842,1198,1072,1221,720,1205,417,475,417,367
"CAGL0H04565g",1082,846,1472,1143,1327,1720,1272,1048,922,910,971,1297,1293
"CAGL0H07023g",1891,1489,2027,1230,1330,1187,1805,1042,1361,532,721,1161,1206
"CAGL0H01705g",935,781,1541,1418,787,1176,1358,990,1012,1052,1261,1084,1040
"CAGL0H05665g",2365,1958,2334,1266,2360,1954,2103,1066,1496,690,746,3184,3033
"CAGL0H07491g",700,480,845,702,789,644,381,323,834,255,235,1055,834
"CAGL0H04433r",0,0,0,0,0,0,0,0,0,0,0,0,0
"CAGL0H08525g",185,182,229,218,191,295,174,146,178,116,148,162,180
"CAGL0H08503g",1536,1406,1636,1095,1542,1566,1312,908,1265,742,821,1634,1547
"CAGL0H06479g",967,850,1144,786,1027,933,1018,657,947,496,587,478,497
"CAGL0J10186g",6202,5319,6242,3974,5100,4962,6676,3710,4875,2692,2657,6653,6186
"CAGL0J08371g",14,8,19,20,6,10,7,4,14,4,8,12,10
"CAGL0J07656g",2498,2788,2803,1989,2431,2443,2984,1641,2489,1350,1436,3159,3055
"CAGL0J11132g",2039,2127,2032,1644,1833,2134,2424,1427,2031,1160,1230,3483,3845
"CAGL0J09724g",1122,985,1461,1106,1210,1552,1307,894,918,603,756,860,864
"CAGL0J09174g",2,2,5,9,3,5,4,3,4,7,8,12,7
"CAGL0J02904g",661,599,407,307,525,690,536,349,276,170,212,2719,2628
"CAGL0J09922g",10263,7746,13483,10364,10692,11722,9442,7111,8895,5089,5718,5773,4801
"CAGL0J00737g",21792,15752,29435,26964,22441,28813,22873,20568,26368,17416,20658,932,1051
"CAGL0J07326g",1011,835,1311,863,1108,955,1290,932,950,432,474,406,371
"CAGL0J05016g",1456,1219,1990,1376,1887,1841,1601,1066,1389,1134,1179,830,788
"CAGL0J06754g",497,424,625,386,637,598,510,397,515,232,267,256,242
"CAGL0J01727g",4,1,3,2,0,1,1,1,1,0,1,1,0
"CAGL0J05060g",1158,540,3200,2847,1181,1584,1137,1134,465,645,734,1126,925
"CAGL0J06028g",172,195,554,468,1182,876,543,318,353,84,110,51,63
"CAGL0J10956g",1375,980,1492,1137,1522,1538,1048,756,1175,654,673,682,658
"CAGL0J07766g",3446,2085,5450,3901,4158,3741,3288,2847,4139,1890,2171,98,99
"CAGL0J06798g",239,144,209,141,179,218,183,128,210,103,86,107,97
"CAGL0J11506g",1581,1660,1770,1205,1742,1492,1983,928,1462,644,725,1057,988
"CAGL0J03872g",1020,970,1106,869,829,945,1135,706,1038,487,600,692,712
"CAGL0J01375g",793,683,972,618,723,700,735,426,701,341,351,437,385
"CAGL0J00781g",4063,3305,4853,3974,4075,4362,4138,3011,4091,2194,2336,1950,1800
"CAGL0J02420g",1854,1580,2317,1613,2003,1888,1816,1337,1842,692,746,267,214
"CAGL0J01980g",583,489,631,438,591,565,542,421,532,278,283,303,252
"CAGL0J06820g",522,617,399,271,436,497,557,287,350,197,210,1496,1485
"CAGL0J07458g",1027,764,1408,1010,1265,1116,993,776,1077,705,820,173,153
"CAGL0J05302g",759,754,643,365,759,678,710,414,532,362,346,1801,1831
"CAGL0J04444g",1350,1135,1554,1015,1345,1184,1355,797,1527,485,493,364,350
"CAGL0J09702g",585,524,609,505,581,645,526,348,470,370,502,897,802
"CAGL0J02706g",5,6,12,1,15,11,6,1,8,6,6,8,6
"CAGL0J03454g",1896,1522,2357,1515,2030,1647,1851,1088,1763,862,973,411,320
"CAGL0J04092g",277,379,247,193,248,271,404,180,244,126,145,813,782
"CAGL0J09966g",4794,3882,6260,4632,5270,5250,4428,3605,5786,2219,2537,251,270
"CAGL0J10692g",1316,1054,1339,852,1332,939,1298,707,1053,443,492,819,826
"CAGL0J00517g",267,201,247,189,258,237,179,122,212,74,49,69,41
"CAGL0J10582g",2516,2271,3229,2263,2758,2676,2997,1815,2886,1290,1505,1356,1298
"CAGL0J01397g",132,122,106,66,103,115,104,39,94,58,52,376,396
"CAGL0J06512g",1184,794,1321,946,1223,1037,1036,699,1128,551,576,283,213
"CAGL0J08030g",1437,1225,1552,1060,1441,1243,1791,949,1632,640,661,335,250
"CAGL0J09878g",1124,1011,1095,729,1162,1042,1161,626,974,501,605,1278,1138
"CAGL0J00869g",364,274,501,422,428,485,399,340,426,275,386,47,25
"CAGL0J11110g",1159,916,1475,1015,1156,1090,1036,715,1132,566,641,669,565
"CAGL0J07194g",118,122,104,58,102,86,126,55,90,50,55,154,129
"CAGL0J05082g",275,300,330,175,304,219,326,163,264,138,167,584,489
